block,transect,year,visit,code,common.name,genus,species,quadrant,distance
1,5,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,5,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,5,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,5,2008,2,B-WEBL,Western Bluebird,Sialia,mexicana,3,150
1,5,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,5,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,4,150
1,6,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,6,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,6,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,6,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,6,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,6,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,6,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,6,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,6,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,6,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
1,6,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,6,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
1,6,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,7,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,4,75
1,7,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,7,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,7,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,7,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
1,7,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
1,7,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
1,7,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,7,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,7,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,7,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,7,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
1,8,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,8,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,8,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,8,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,8,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,8,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,9,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,9,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,50
1,9,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,9,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
1,9,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,9,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,9,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,9,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,10,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,10,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,10,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,10,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,10,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,10,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,10,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,10,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,10,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,10,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,11,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,11,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
1,11,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
1,11,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,11,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,11,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,11,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,11,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,25
1,11,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,25
1,11,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
1,11,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,11,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,11,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,11,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
1,12,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,12,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,12,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,12,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
1,12,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,12,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
1,12,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,12,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,12,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,12,2008,2,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,12,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,4,150
1,13,2008,1,B-PYNU,Pygmy Nuthatch,Sitta,pygmaea,2,100
1,13,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,13,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,13,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,13,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,13,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,13,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,13,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,13,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
1,13,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,13,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,13,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
1,13,2008,2,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,13,2008,2,B-WEME,Western Meadowlark,Sturnella,neglecta,3,25
1,13,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,13,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,1,100
1,13,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
1,13,2008,5,B-WEME,Western Meadowlark,Sturnella,neglecta,1,100
1,13,2008,1,B-WETA,Western Tanager,Piranga,ludoviciana,2,100
1,14,2008,3,B-AMRO,American Robin,Turdus,migratorius,3,100
1,14,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,50
1,14,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,100
1,14,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,75
1,14,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,14,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
1,14,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,14,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
1,15,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,75
1,15,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,4,75
1,15,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,15,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,15,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,15,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
1,15,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
1,15,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
1,15,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
1,16,2008,3,B-BBMA,Black-billed Magpie,Pica,hudsonia,3,75
1,16,2008,2,B-ROWR,Canyon Wren,Catherpes,mexicanus,2,75
1,16,2008,3,B-ROWR,Canyon Wren,Catherpes,mexicanus,2,100
1,16,2008,5,B-ROWR,Canyon Wren,Catherpes,mexicanus,2,50
1,16,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
1,16,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
1,16,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,17,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,3,150
2,17,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,17,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,17,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,17,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,17,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
2,17,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,17,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
2,17,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
2,17,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
2,17,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
2,18,2008,3,B-CCSP,Clay-colored Sparrow,Spizella,pallida,3,75
2,18,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,2,25
2,18,2008,1,B-OCWA,Orange-crowned Warbler,Oreothlypis,celata,3,50
2,18,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
2,18,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,50
2,18,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,50
2,18,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,50
2,18,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,3,100
2,18,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,4,100
2,19,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,19,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,19,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,19,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,19,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
2,19,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,19,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,4,150
2,19,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,4,150
2,19,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,2,100
2,19,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,4,150
2,20,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,20,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,20,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,20,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
2,20,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,20,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,20,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,20,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,20,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,20,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,21,2008,2,B-BRSP,Brewer's Sparrow,Spizella,breweri,2,100
2,21,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,50
2,21,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,3,100
2,21,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,21,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,21,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,100
2,21,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,22,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,100
2,22,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,22,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,22,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,50
2,22,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,22,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,22,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,23,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
2,23,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,23,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,23,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,23,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,50
2,23,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,24,2008,1,B-OCWA,Orange-crowned Warbler,Oreothlypis,celata,2,100
2,24,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,24,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,24,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,24,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,24,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,24,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,25,2008,1,B-CHSP,Chipping Sparrow,Spizella,passerina,1,50
2,25,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,3,75
2,25,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,4,75
2,25,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,3,100
2,25,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,4,100
2,25,2008,5,B-CHSP,Chipping Sparrow,Spizella,passerina,4,75
2,25,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
2,25,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,25,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
2,25,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,25,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
2,25,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,25,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,25,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,25,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,25,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,25,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,25,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
2,25,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,26,2008,1,B-CHSP,Chipping Sparrow,Spizella,passerina,1,50
2,26,2008,1,B-CHSP,Chipping Sparrow,Spizella,passerina,3,25
2,26,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,100
2,26,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,1,75
2,26,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,150
2,26,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,100
2,26,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,1,100
2,26,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,4,100
2,26,2008,5,B-CHSP,Chipping Sparrow,Spizella,passerina,1,100
2,26,2008,5,B-CHSP,Chipping Sparrow,Spizella,passerina,2,150
2,26,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,75
2,26,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,26,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,26,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,26,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,26,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,26,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,26,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,26,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,26,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,26,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,100
2,26,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
2,26,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
2,27,2008,2,B-CHSP,Chipping Sparrow,Spizella,passerina,2,75
2,27,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,1,75
2,27,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,1,75
2,27,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,1,150
2,27,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,2,75
2,27,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,2,100
2,27,2008,4,B-CHSP,Chipping Sparrow,Spizella,passerina,2,150
2,27,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,27,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,27,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,27,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,27,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,27,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
2,27,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,27,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,27,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,27,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,27,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,27,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,27,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
2,27,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
2,28,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,4,75
2,28,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,28,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,50
2,28,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
2,28,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,28,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,100
2,28,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,150
2,28,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,28,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,28,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,28,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,28,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,28,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
2,28,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
2,28,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,1,150
2,28,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,2,100
2,29,2008,3,B-SASP,Savannah Sparrow,Passerculus,sandwichensis,2,150
2,29,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,29,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,29,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,100
2,29,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,75
2,29,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,29,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
2,29,2008,4,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,29,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,150
2,29,2008,5,B-VESP,Vesper Sparrow,Pooecetes,gramineus,3,150
2,29,2008,1,B-WEME,Western Meadowlark,Sturnella,neglecta,2,100
2,29,2008,3,B-WEME,Western Meadowlark,Sturnella,neglecta,3,150
2,29,2008,4,B-WEME,Western Meadowlark,Sturnella,neglecta,2,150
2,30,2008,5,B-BRSP,Brewer's Sparrow,Spizella,breweri,4,150
2,30,2008,1,B-CHSP,Chipping Sparrow,Spizella,passerina,1,75
2,30,2008,3,B-CHSP,Chipping Sparrow,Spizella,passerina,4,150
2,30,2008,5,B-SPTO,Spotted Towhee,Pipilo,maculatus,3,100
2,30,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,30,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,75
2,30,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,30,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,75
2,30,2008,1,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
2,30,2008,2,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,100
2,30,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,1,100
2,30,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,2,50
2,30,2008,3,B-VESP,Vesper Sparrow,Pooecetes,gramineus,4,150
